,,,,,,,,,,,,
,,,,,,,,,,,,
County Name,Priority Area Number,Priority Area,Indicator Number,Indicator,Event Count/Rate, ,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Data Years,Date Source
Cortland,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",20,"2,481",26.9,,,,2018-2020,SPARCS data as of August 2022
Delaware,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",12,"1,788",22.4,,,,2018-2020,SPARCS data as of August 2022
Dutchess,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",325,"13,360",81.1,,,,2018-2020,SPARCS data as of August 2022
Erie,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,582","50,229",105,,,,2018-2020,SPARCS data as of August 2022
Essex,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",23,"1,490",51.5,,,,2018-2020,SPARCS data as of August 2022
Franklin,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",34,"2,382",47.6,,,,2018-2020,SPARCS data as of August 2022
Fulton,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",54,"2,758",65.3,,,,2018-2020,SPARCS data as of August 2022
Genesee,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",53,"3,006",58.8,,,,2018-2020,SPARCS data as of August 2022
Greene,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",43,"2,011",71.3,,,,2018-2020,SPARCS data as of August 2022
Hamilton,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",s,131,.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Herkimer,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",38,"3,140",40.3,,,,2018-2020,SPARCS data as of August 2022
Jefferson,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",122,"8,911",45.6,,,,2018-2020,SPARCS data as of August 2022
Lewis,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",12,"1,644",24.3,,,,2018-2020,SPARCS data as of August 2022
Livingston,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",49,"2,694",60.6,,,,2018-2020,SPARCS data as of August 2022
Madison,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",45,"3,389",44.3,,,,2018-2020,SPARCS data as of August 2022
Monroe,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,487","40,954",121,,,,2018-2020,SPARCS data as of August 2022
Montgomery,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",73,"3,164",76.9,,,,2018-2020,SPARCS data as of August 2022
Nassau,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,203","74,527",53.8,,,,2018-2020,SPARCS data as of August 2022
Niagara,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",260,"11,131",77.9,,,,2018-2020,SPARCS data as of August 2022
Oneida,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",199,"12,908",51.4,,,,2018-2020,SPARCS data as of August 2022
Onondaga,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",733,"26,291",92.9,,,,2018-2020,SPARCS data as of August 2022
Ontario,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",80,"5,494",48.5,,,,2018-2020,SPARCS data as of August 2022
Orange,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",520,"25,466",68.1,,,,2018-2020,SPARCS data as of August 2022
Orleans,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",55,"2,066",88.7,,,,2018-2020,SPARCS data as of August 2022
Oswego,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",137,"6,375",71.6,,,,2018-2020,SPARCS data as of August 2022
Otsego,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",16,"2,517",21.2,,,,2018-2020,SPARCS data as of August 2022
Putnam,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",70,"4,480",52.1,,,,2018-2020,SPARCS data as of August 2022
Rensselaer,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",161,"8,230",65.2,,,,2018-2020,SPARCS data as of August 2022
Rockland,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",371,"26,606",46.5,,,,2018-2020,SPARCS data as of August 2022
St. Lawrence,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",83,"5,613",49.3,,,,2018-2020,SPARCS data as of August 2022
Saratoga,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",109,"11,656",31.2,,,,2018-2020,SPARCS data as of August 2022
Schenectady,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",192,"9,160",69.9,,,,2018-2020,SPARCS data as of August 2022
Schoharie,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",23,"1,318",58.2,,,,2018-2020,SPARCS data as of August 2022
Schuyler,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",12,889,45,,,,2018-2020,SPARCS data as of August 2022
Seneca,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",32,"1,818",58.7,,,,2018-2020,SPARCS data as of August 2022
Steuben,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",69,"5,282",43.5,,,,2018-2020,SPARCS data as of August 2022
Suffolk,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,570","79,377",65.9,,,,2018-2020,SPARCS data as of August 2022
Sullivan,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",132,"4,284",102.7,,,,2018-2020,SPARCS data as of August 2022
Tioga,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",20,"2,425",27.5,,,,2018-2020,SPARCS data as of August 2022
Tompkins,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",56,"3,907",47.8,,,,2018-2020,SPARCS data as of August 2022
Ulster,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",157,"7,831",66.8,,,,2018-2020,SPARCS data as of August 2022
Warren,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",32,"2,876",37.1,,,,2018-2020,SPARCS data as of August 2022
Washington,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",52,"2,888",60,,,,2018-2020,SPARCS data as of August 2022
Wayne,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",90,"4,932",60.8,,,,2018-2020,SPARCS data as of August 2022
Westchester,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,512","54,049",93.2,,,,2018-2020,SPARCS data as of August 2022
Wyoming,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",27,"1,946",46.2,,,,2018-2020,SPARCS data as of August 2022
Yates,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",15,"1,528",32.7,,,,2018-2020,SPARCS data as of August 2022
Bronx,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","10,511","103,072",339.9,,,,2018-2020,SPARCS data as of August 2022
Kings,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","7,274","187,341",129.4,,,,2018-2020,SPARCS data as of August 2022
New York,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","3,565","77,298",153.7,,,,2018-2020,SPARCS data as of August 2022
Queens,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","5,162","141,150",121.9,,,,2018-2020,SPARCS data as of August 2022
Richmond,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",626,"27,437",76.1,,,,2018-2020,SPARCS data as of August 2022
Long Island,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","2,773","153,904",60.1,,,,2018-2020,SPARCS data as of August 2022
New York City,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","27,138","536,298",168.7,,,,2018-2020,SPARCS data as of August 2022
Mid-Hudson,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","3,087","136,076",75.6,,,,2018-2020,SPARCS data as of August 2022
Capital Region,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,008","49,010",68.6,,,,2018-2020,SPARCS data as of August 2022
Mohawk Valley,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",204,"12,897",52.7,,,,2018-2020,SPARCS data as of August 2022
North Country,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",187,"13,633",45.7,,,,2018-2020,SPARCS data as of August 2022
Tug Hill Seaway,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",217,"16,168",44.7,,,,2018-2020,SPARCS data as of August 2022
Central NY,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,184","55,311",71.4,,,,2018-2020,SPARCS data as of August 2022
Southern Tier,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years",249,"20,790",39.9,,,,2018-2020,SPARCS data as of August 2022
Finger Lakes,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","1,911","68,264",93.3,,,,2018-2020,SPARCS data as of August 2022
Western NY,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","2,185","82,140",88.7,,,,2018-2020,SPARCS data as of August 2022
New York State (excluding NYC),1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","13,005","608,193",71.3,,,,2018-2020,SPARCS data as of August 2022
New York State,1,Component 1: Asthma Emergency Department Visits in New York State,ad1,"Asthma emergency department visit rate per 10,000 - aged 0-4 years","40,143","1,144,491",116.9,,,,2018-2020,SPARCS data as of August 2022
Albany,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",440,"21,632",67.8,,,,2018-2020,SPARCS data as of August 2022
Allegany,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",30,"3,617",27.6,,,,2018-2020,SPARCS data as of August 2022
Broome,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",178,"14,251",41.6,,,,2018-2020,SPARCS data as of August 2022
Cattaraugus,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",64,"6,644",32.1,,,,2018-2020,SPARCS data as of August 2022
Cayuga,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",45,"5,906",25.4,,,,2018-2020,SPARCS data as of August 2022
Chautauqua,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",158,"9,855",53.4,,,,2018-2020,SPARCS data as of August 2022
Chemung,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",109,"7,107",51.1,,,,2018-2020,SPARCS data as of August 2022
Chenango,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",69,"3,762",61.1,,,,2018-2020,SPARCS data as of August 2022
Clinton,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",50,"5,694",29.3,,,,2018-2020,SPARCS data as of August 2022
Columbia,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",33,"3,844",28.6,,,,2018-2020,SPARCS data as of August 2022
Cortland,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",50,"3,466",48.1,,,,2018-2020,SPARCS data as of August 2022
Delaware,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",61,"2,934",69.3,,,,2018-2020,SPARCS data as of August 2022
Dutchess,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",375,"20,821",60,,,,2018-2020,SPARCS data as of August 2022
Erie,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","1,509","71,465",70.4,,,,2018-2020,SPARCS data as of August 2022
Essex,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",43,"2,338",61.3,,,,2018-2020,SPARCS data as of August 2022
Franklin,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",40,"3,929",33.9,,,,2018-2020,SPARCS data as of August 2022
Fulton,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",84,"4,245",66,,,,2018-2020,SPARCS data as of August 2022
Genesee,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",47,"4,620",33.9,,,,2018-2020,SPARCS data as of August 2022
Greene,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",37,"2,970",41.5,,,,2018-2020,SPARCS data as of August 2022
Hamilton,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",s,211,.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Herkimer,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",30,"5,035",19.9,,,,2018-2020,SPARCS data as of August 2022
Jefferson,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",135,"10,496",42.9,,,,2018-2020,SPARCS data as of August 2022
Lewis,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",26,"2,315",37.4,,,,2018-2020,SPARCS data as of August 2022
Livingston,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",18,"4,355",13.8,,,,2018-2020,SPARCS data as of August 2022
Madison,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",32,"5,245",20.3,,,,2018-2020,SPARCS data as of August 2022
Monroe,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","1,648","60,093",91.4,,,,2018-2020,SPARCS data as of August 2022
Montgomery,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",97,"4,304",75.1,,,,2018-2020,SPARCS data as of August 2022
Nassau,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","1,313","113,145",38.7,,,,2018-2020,SPARCS data as of August 2022
Niagara,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",296,"16,249",60.7,,,,2018-2020,SPARCS data as of August 2022
Oneida,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",186,"19,206",32.3,,,,2018-2020,SPARCS data as of August 2022
Onondaga,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",666,"38,125",58.2,,,,2018-2020,SPARCS data as of August 2022
Ontario,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",75,"8,567",29.2,,,,2018-2020,SPARCS data as of August 2022
Orange,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",590,"37,544",52.4,,,,2018-2020,SPARCS data as of August 2022
Orleans,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",52,"2,947",58.8,,,,2018-2020,SPARCS data as of August 2022
Oswego,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",82,"9,607",28.5,,,,2018-2020,SPARCS data as of August 2022
Otsego,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",22,"3,677",19.9,,,,2018-2020,SPARCS data as of August 2022
Putnam,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",66,"7,350",29.9,,,,2018-2020,SPARCS data as of August 2022
Rensselaer,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",158,"12,122",43.4,,,,2018-2020,SPARCS data as of August 2022
Rockland,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",302,"34,922",28.8,,,,2018-2020,SPARCS data as of August 2022
St. Lawrence,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",119,"8,599",46.1,,,,2018-2020,SPARCS data as of August 2022
Saratoga,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",96,"17,902",17.9,,,,2018-2020,SPARCS data as of August 2022
Schenectady,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",210,"13,013",53.8,,,,2018-2020,SPARCS data as of August 2022
Schoharie,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",30,"2,142",46.7,,,,2018-2020,SPARCS data as of August 2022
Schuyler,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",18,"1,335",44.9,,,,2018-2020,SPARCS data as of August 2022
Seneca,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",31,"2,617",39.5,,,,2018-2020,SPARCS data as of August 2022
Steuben,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",61,"8,084",25.2,,,,2018-2020,SPARCS data as of August 2022
Suffolk,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","1,639","118,014",46.3,,,,2018-2020,SPARCS data as of August 2022
Sullivan,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",122,"6,173",65.9,,,,2018-2020,SPARCS data as of August 2022
Tioga,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",16,"3,912",13.6,,,,2018-2020,SPARCS data as of August 2022
Tompkins,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",39,"5,904",22,,,,2018-2020,SPARCS data as of August 2022
Ulster,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",225,"12,126",61.9,,,,2018-2020,SPARCS data as of August 2022
Warren,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",35,"4,565",25.6,,,,2018-2020,SPARCS data as of August 2022
Washington,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",30,"4,456",22.4,,,,2018-2020,SPARCS data as of August 2022
Wayne,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",66,"7,622",28.9,,,,2018-2020,SPARCS data as of August 2022
Westchester,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","1,818","81,687",74.2,,,,2018-2020,SPARCS data as of August 2022
Wyoming,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",19,"2,908",21.8,,,,2018-2020,SPARCS data as of August 2022
Yates,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",20,"2,134",31.2,,,,2018-2020,SPARCS data as of August 2022
Bronx,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","12,682","139,006",304.1,,,,2018-2020,SPARCS data as of August 2022
Kings,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","10,067","225,588",148.8,,,,2018-2020,SPARCS data as of August 2022
New York,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","5,314","88,599",199.9,,,,2018-2020,SPARCS data as of August 2022
Queens,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","5,840","174,936",111.3,,,,2018-2020,SPARCS data as of August 2022
Richmond,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",942,"40,148",78.2,,,,2018-2020,SPARCS data as of August 2022
Long Island,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","2,952","231,159",42.6,,,,2018-2020,SPARCS data as of August 2022
New York City,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","34,845","668,277",173.8,,,,2018-2020,SPARCS data as of August 2022
Mid-Hudson,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years","3,498","200,623",58.1,,,,2018-2020,SPARCS data as of August 2022
Capital Region,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",974,"71,483",45.4,,,,2018-2020,SPARCS data as of August 2022
Mohawk Valley,1,Component 1: Asthma Emergency Department Visits in New York State,ad2,"Asthma emergency department visit rate per 10,000 - aged 5-11 years",263,"19,403",45.2,,,,2018-2020,SPARCS data as of August 2022
